Symbol,Security,SECfilings,GICSSector,GICSSub-Industry,HeadquartersLocation,Datefirstadded,CIK,Founded
WBD,WarnerBros.Discovery,reports,CommunicationServices,Broadcasting,NewYorkCity,NewYork,2022-04-11,0001437107,2022
WM,WasteManagement,reports,Industrials,Environmental&FacilitiesServices,Houston,Texas,,0000823768,1968
WAT,Waters,reports,HealthCare,HealthCareDistributors,Milford,Massachusetts,,0001000697,1958
WEC,WECEnergyGroup,reports,Utilities,ElectricUtilities,Milwaukee,Wisconsin,2008-10-31,0000783325,1896
WFC,WellsFargo,reports,Financials,DiversifiedBanks,SanFrancisco,California,1976-06-30,0000072971,1852
WELL,Welltower,reports,RealEstate,HealthCareREITs,Toledo,Ohio,2009-01-30,0000766704,1970
WST,WestPharmaceuticalServices,reports,HealthCare,HealthCareSupplies,Exton,Pennsylvania,2020-05-22,0000105770,1923
WDC,WesternDigital,reports,InformationTechnology,TechnologyHardware,Storage&Peripherals,SanJose,California,2009-07-01,0000106040,1970
WRK,WestRock,reports,Materials,PaperPackaging,Atlanta,Georgia,,0001732845,2015
WY,Weyerhaeuser,reports,RealEstate,SpecializedREITs,Seattle,Washington,,0000106535,1900
WHR,Whirlpool,reports,ConsumerDiscretionary,HouseholdAppliances,BentonHarbor,Michigan,,0000106640,1911
WMB,Williams,reports,Energy,Oil&GasStorage&Transportation,Tulsa,Oklahoma,1975-03-31,0000107263,1908
WTW,WillisTowersWatson,reports,Financials,InsuranceBrokers,London,UnitedKingdom,2016-01-05,0001140536,2016
WYNN,WynnResorts,reports,ConsumerDiscretionary,Casinos&Gaming,Paradise,Nevada,2008-11-14,0001174922,2002
XEL,XcelEnergy,reports,Utilities,Multi-Utilities,Minneapolis,Minnesota,1957-03-04,0000072903,1909
XYL,Xylem,reports,Industrials,IndustrialMachinery,WhitePlains,NewYork,2011-11-01,0001524472,2011
YUM,Yum!Brands,reports,ConsumerDiscretionary,Restaurants,Louisville,Kentucky,1997-10-06,0001041061,1997
ZBRA,Zebra,reports,InformationTechnology,ElectronicEquipment&Instruments,Lincolnshire,Illinois,2019-12-23,0000877212,1969
ZBH,ZimmerBiomet,reports,HealthCare,HealthCareEquipment,Warsaw,Indiana,2001-08-07,0001136869,1927
ZION,ZionsBancorp,reports,Financials,RegionalBanks,SaltLakeCity,Utah,2001-06-22,0000109380,1873
ZTS
